Country,Continent,First acquisition of sovereignty,Date of last subordination,Previous governing power,Notes
Paraguay,The Americas,"May 14, 1811",1876,Empire of Brazil,"Occupied 1870–1876 by Brazil, in Triple Alliance with Argentina and Uruguay."
Peru,The Americas,"July 28, 1821",1839,North Peru   South Peru,Independent from Spain 1821; part of Peru–Bolivian Confederation 1836-39.New SpainInca Empire
Philippines,Asia,1402,1946,United States,"1986–present: Fifth Philippine Republic   1981–1986: Fourth Philippine Republic  1973–1981: Under the Martial Law   1946–1972: Third Philippine Republic  1942–1943: A puppet state of the Japanese Empire (Second Philippine Republic)  1935–1942, 1945–1946: Commonwealth of the Philippines  1899–1901: First Philippine Republic  1898–1935: A territory of the United States  1535–1898: Captaincy General of the Philippines  Pre-1535: The Philippine Islands had a numerous sinified states, Indianized kingdoms and Muslim states. In Luzon, there were the Ivatan people, the Society of Cordillera, the Kingdoms of Pangasinan and Ma-i, Kota Selurong and the Tondo Dynasty. The Confederation of the Madyas and the Rajahnate of Cebu were in Visayas. Lastly, in Mindanao, there were the Sultanate of Maguindanao, Butuan Rajahnate and the Sultanate of Sulu. The Bruneian Empire occupied Palawan_(island) and parts of Mindanao too."
Poland,Europe,966,1945,Germany,Unified ca 966 by Mieszko I. Rise of power in the 16th century. Occupied by Germany and the USSR during WWII.
Portugal,Europe,"July 25, 1139",1139,Kingdom of León,"The County of Portugal becomes fully independent after the Battle of Ourique, from the Kingdom of León. Although it was not until 4 years later in 1143, when independence was recognized. Between 1580 and 1640 Portugal and Spain had the same King, Filipe I in Portugal and Filipe II in Spain."
Qatar,Asia,"Sep 3, 1971",1971,United Kingdom,Ottoman EmpireAbassid CaliphateUmayyad CaliphateRashidun CaliphateVarious nomadic Arab tribesmen before that.
Romania,Europe,"Jul 13, 1878",1878,United Principalities,1944–1958.Ottoman EmpireWallachia
Russia,Transcontinental - Asia/Europe,860,1993,Soviet Union,"Rurik Dynasty founded ca 860. Great stand on the Ugra river in 1480 marked end of Mongol/Tatar rule.Kievan Rus'
1721-1917:  Russian Empire
1917-1918:   Soviet Russian Republic
1918-1936:   Russian Socialist Federative Soviet Republic
1922-1991:  Union of Soviet Socialist Republics
1936-1991:  Russian Soviet Federative Socialist Republic
1991-1993:  Russian Federation (with the 1978 constitution)
1993–present:  Russian Federation"
Rwanda,Africa,"July 1, 1962",1962,Belgium,
Saint Kitts and Nevis,The Americas,"Sep 19, 1983",1983,United Kingdom,
Saint Lucia,The Americas,"Feb 22, 1979",1979,United Kingdom,
Saint Vincent and the Grenadines,The Americas,"Oct 27, 1979",1979,United Kingdom,
Samoa,Oceania,"Jan 1, 1962",1962,New Zealand,"German colony 1900 to 1914; occupied by New Zealand 1914; Trust Territory first of the League of Nations, then of the United Nations and administered by New Zealand, 1920 to 1962."
San Marino,Europe,"Sep 3, 301",301,Roman Empire,"Previously part of the Roman Empire, and briefly by Rimini (1503), and Papal States (1739)."
São Tomé and Príncipe,Africa,"Jul 12, 1975",1975,Portugal,
Saudi Arabia,Asia,1744,1919,Ottoman Empire,"First Saudi State independent 1744–1818; last Ottoman troops evicted from Medina by Kingdom of Hejaz 1919; Hejaz incorporated 1926 into Kingdom of Hejaz and Nejd, precursor to the modern day Saudi Arabia"
Senegal,Africa,"Jun 20, 1960",1960,France,"Independent first as Mali Federation with capital in Dakar. Previously part of Ghana, Mali and Songhai Empires."
Serbia,Europe,768,2006,Yugoslavia Serbia and Montenegro,"2006–present: Republic of Serbia (successor state of Serbia and Montenegro) 2003–2006: Part of the union of Serbia and Montenegro (successor state of Federal Republic of Yugoslavia)1992–2003: Part of the Federal Republic of Yugoslavia (New state)1946–1992: Part of the Socialist Federal Republic of Yugoslavia1943–1946: Part of the Democratic Federal Yugoslavia1929–1943: Part of the Kingdom of Yugoslavia1918–1929: Kingdom of Serbs, Croats and Slovenes1882–1918: Kingdom of Serbia1815–1882: Principality of Serbia1804–1813: Revolutionary Serbia (as independent movement inside the Ottoman Empire)1459–1817: Part of the Ottoman Empire1402–1459: Serbian Despotate1371–1402: Moravian Serbia1346–1371: Serbian Empire1217–1346: Kingdom of Serbia768–1217: Principality of Serbia520s–768: Serbian Sklavinia"
Seychelles,Africa,"Jun 29, 1976",1976,United Kingdom,Perhaps sovereign 1790–1794
Sierra Leone,Africa,"Apr 27, 1961",1961,United Kingdom,
Singapore,Asia,"Aug 31, 1963",1965,Malaysia,"British colony 1824–1963; occupied by Japan 1942–1945; declared independence, then merged with Malaysia"
Slovakia,Europe,"Mar 14, 1939",1993,Czechoslovakia,
Slovenia,Europe,"Jun 25, 1991",1991,Yugoslavia,"1991–present: Republic of Slovenia1945–1991: Part of the Socialist Federal Republic of Yugoslavia1918–1945: Part of the Kingdom of Serbs, Croats and Slovenes1918–1918: Part of the State of Slovenes, Croats and Serbs1806–1918: Duchy of Carinthia (as part of the Austria-Hungary Empire)976–1086: Duchy of Carinthia (as part of the Holy Roman Empire)889–976: March of Carinthia (as part of the Carolingian Empire)"
Solomon Islands,Oceania,"Jul 7, 1978",1978,United Kingdom,
Somalia,Africa,200 BC,1960,United Kingdom Italy,1 July 1960: Union of Trust Territory of Somalia (former Italian Somaliland) and State of Somaliland (former British Somaliland)19th century: Part of Sultanate of Hobyo18th century: Part of Majeerteen Sultanate15th century: Part of Adal Sultanate13th century: Part of Ajuran Sultanate13th century: Part of Warsangali Sultanate13th century: Part of Ifat Sultanate10th century: Part of Sultanate of Mogadishu200 BCE: Somali city-states
South Africa,Africa,"May 31, 1910",1910,United Kingdom,"Dominion status 1910, Statute of Westminster 1931.Orange Free State 1881-1902Zulu EmpireVarious Bantu (Zulu, Xhosa and Swazi) and Khoikhoi tribesmen (San Bushmen)"
South Sudan,Africa,"Jul 9, 2011",2011,Sudan,
Spain,Europe,1516,1516,Crown of Castile   Crown of Aragon,Founding of the Spanish Monarchy by Charles I of Spain in 1516 when he united the Catholic Monarchy (Crown of Castile and Crown of Aragon) among other territories. Each country mainteined its own legal system and institutions. Occupied by France 1808-1814. Between 1580 and 1668 Portugal and all its colonies were integrated into an Iberian Union under the king Felipe II.
Sri Lanka,Asia,377 BC,1948,United Kingdom,"Unified as Anuradhapura Kingdom 377 BC – 1017. Conquered by Indian kingdoms, Portuguese, Dutch, and British."
Sudan,Africa,1070 BC,1956,United Kingdom  Egypt,"Kingdom of Kush 1070 BC – 350 AD. Later ruled by the Ottoman Empire, Egypt, and then as Anglo-Egyptian Sudan 1899–1956."
Suriname,The Americas,"Nov 25, 1975",1975,Kingdom of the Netherlands,
Sweden,Europe,1397,1523,Denmark,No exact date for consolidation of Sweden. In Kalmar Union 1397–1523.
Switzerland,Europe,1291,1815,Austria,"Old Swiss Confederacy formed 1291. Occupied by France 1798, then Austria 1813. 1815 Congress of Vienna restored independence."
Syria,Asia,"Apr 17, 1946",1961,United Arab Republic,Ottoman EmpireByzantine Empire
Tajikistan,Asia,"Sep 9, 1991",1991,Soviet Union,
Tanzania,Africa,"Dec 9, 1961",1961,United Kingdom,"Independent in 1961 as Tanganyika, added Zanzibar in 1963."
Thailand,Asia,1238,1945,Khmer Empire,Independent from Khmer Empire in 1238. Briefly conquered by Burma in 1767. Occupied by Japan 1941–1945.
Timor-Leste,Asia,"Nov 28, 1975",2002,United Nations Transitional Administration in East Timor,"Ruled by Portugal 1515–1975, occupied by Indonesia 1975–1999, administered by U.N. 1999–2002."
Togo,Africa,"Apr 27, 1960",1960,France,
Tonga,Oceania,1845,1970,United Kingdom,United 1845 by George Tupou I. British protectorate 1900–1970.
Trinidad and Tobago,The Americas,"Aug 31, 1962",1962,United Kingdom,
Tunisia,Africa,"Mar 20, 1956",1956,France,"Occupations by Rome, Ottoman Empire and France"
Turkey,Asia and Europe,1299,1923,Ottoman Empire,Ottoman Empire was founded in 1299 as the Turkish State.
Turkmenistan,Asia,"Oct 27, 1991",1991,Soviet Union,
Tuvalu,Oceania,"Oct 1, 1978",1978,United Kingdom,
Uganda,Africa,"Oct 9, 1962",1962,United Kingdom,
Ukraine,Europe,860,1991,Soviet Union,860-1240 - Kievan Rus'1199-1340 - Kingdom of Rus1648-1764 - Cossack Hetmanate1917-20 - Ukrainian People's Republic1918 - Ukrainian State
United Arab Emirates,Asia,"Dec 2, 1971",1971,United Kingdom,
United Kingdom,Europe,"May 1, 1707",1801,Kingdom of England   Kingdom of Scotland,"Kingdom of England (10th century- 1707), Kingdom of Scotland (9th century- 1707), Great Britain (1707–1800), United Kingdom of Great Britain and Ireland (1801-1922)"
United States,The Americas,"Jul 4, 1776",1781,Great Britain,"Independence declared 1776; British surrender 1781; U.S. recognized by Treaty of Paris 1783. New France, New Spain, Indian tribes, chiefdoms and confederations."
Uruguay,The Americas,1815,1828,Empire of Brazil,Independent 1815–1820 as Liga Federal; occupied 1820 by Portugal/Brazil until 1828 Treaty of Montevideo.
Uzbekistan,Asia,"Oct 27, 1924",1991,Soviet Union,"1924-1936:  Uzbek Socialist Soviet Republic
1936-1992:  Uzbek Soviet Socialist Republic
1992–present:  Republic of Uzbekistan (independence from Soviet Union declared 1991; constitution adopted 1992)"
Vanuatu,Oceania,"July 30, 1980",1980,United Kingdom France,Governed 1906–1980 as the New Hebrides condominium.
Vatican City,Europe,756,1929,Italy,Independent as Papal States 756–1870; part of Italy until 1929 Lateran Treaty
Venezuela,The Americas,"Jul 5, 1811",1830,Gran Colombia,Previously a colony of Spain
Vietnam,Asia,2879 BC,1976,North Vietnam  South Vietnam,"Văn Lang confederacy arose 2879 BC under Kinh Dương Vương, founder of the Hồng Bàng Dynasty. Several periods of Chinese domination. French occupation from 1887 until Geneva Conference (1954), interrupted by Japanese occupation (1940–1945)."
Yemen,Asia,"Nov 1, 1918",1967,United Kingdom,North Yemen independent from Ottoman Empire 1918; South Yemen from UK in 1967; unified 1990
Zambia,Africa,"Oct 24, 1964",1964,United Kingdom,
Zimbabwe,Africa,"Nov 11, 1965",1980,United Kingdom,The British colony of Southern Rhodesia unilaterally declared Independence as Rhodesia 1965; known as Zimbabwe Rhodesia in 1979; unrecognised until 1980.
